"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Verspreide huizen Ferwerd";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700807";"1";2;0,1;1;1,4;13,6;2;21,4;0;0;0;21,4;0;0;0;;;;;
"Verspreide huizen Marrum-Westernijkerk";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700808";"1";2,7;0;0,8;2,1;15,9;2,7;18,5;0;0;1;18,5;0;0;1;;;;;
"Verspreide huizen Blija";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700809";"1";3,9;0;0,1;1,6;11,1;3,9;23,8;0;0;0;23,8;0;0;0;;;;;
"Wijk 09 Zuidwest";"Noardeast-Fryslân                       ";"Wijk      ";"WK197009  ";"1";0,8;0,8;1;1,9;15,8;0,8;16,1;0;0;1;16,1;0;0;1;;;;;
"Hallum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700900";"1";0,5;0,9;1;1,8;15,9;0,5;16;0;0;1;16;0;0;1;;;;;
"Verspreide huizen Hallum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700909";"1";2,2;0,1;0,9;1,9;15,4;2,2;16,8;0;0;1;16,8;0;0;1;;;;;
"Wijk 10";"Noardeast-Fryslân                       ";"Wijk      ";"WK197010  ";"1";1,7;0,5;0,8;1,1;8,8;1,7;18,1;0;0;0,8;18,1;0;0;0,8;;;;;
"Birdaard";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701000";"1";0,6;0,8;1;1;8,7;0,6;16,8;0;0;1;16,8;0;0;1;;;;;
"Wanswerd";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701001";"1";2,5;0;1;1,5;10,8;2,5;19,4;0;0;1;19,4;0;0;1;;;;;
"Jislum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701002";"1";1,7;0;1;1;9,6;1,7;18,8;0;0;1;18,8;0;0;1;;;;;
"Genum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701003";"1";3,4;0;0,1;1,8;9,2;3,4;20,6;0;0;0,1;20,6;0;0;0,1;;;;;
"Reitsum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701004";"1";4,5;0;0;0,8;8;4,5;21,6;0;0;0;21,6;0;0;0;;;;;
"Lichtaard";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701005";"1";5,5;0;0;0,3;6,1;5,5;22,9;0;0;0;22,9;0;0;0;;;;;
"Janum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701006";"1";3,8;0;0,2;1;6,7;3,8;20,8;0;0;0,2;20,8;0;0;0,2;;;;;
"Verspreide huizen Birdaard";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701008";"1";1,1;0,6;1;1;8,6;1,1;17,5;0;0;1;17,5;0;0;1;;;;;
"Verspreide huizen Wanswerd";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701009";"1";3,4;0;0,2;1,3;11,7;3,4;19,5;0;0;0,6;19,5;0;0;0,6;;;;;
"Wijk 11 Kollum";"Noardeast-Fryslân                       ";"Wijk      ";"WK197011  ";"1";0,9;1,8;3;3,3;13,9;0,9;24,7;0;0;0;24,7;0;0;0;;;;;
"Kollum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701100";"1";0,8;1,9;3;3,3;13,9;0,8;24,7;0;0;0;24,7;0;0;0;;;;;
"Verspreide huizen Kollum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701109";"1";2,5;0,1;2,3;3,6;14,4;2,5;24,9;0;0;0;24,9;0;0;0;;;;;
"Wijk 12 Oost";"Noardeast-Fryslân                       ";"Wijk      ";"WK197012  ";"1";6,2;0;0;0,2;18,5;6,2;27,4;0;0;0;27,4;0;0;0;;;;;
"Burum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701200";"1";6,5;0;0;0;19;6,5;26,9;0;0;0;26,9;0;0;0;;;;;
"Kollumerpomp";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701201";"1";6,7;0;0;0;17,3;6,8;29,9;0;0;0;29,9;0;0;0;;;;;
"Warfstermolen";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701202";"1";7,3;0;0;0;19,8;7,3;28;0;0;0;28;0;0;0;;;;;
"Munnekezijl";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701203";"1";5,5;0;0;0;18,6;5,5;25,7;0;0;0;25,7;0;0;0;;;;;
"Augsbuurt";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701204";"1";3,7;0;0,8;3,3;16,6;3,6;24,6;0;0;0;24,6;0;0;0;;;;;
"Verspreide huizen Burum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701206";"1";6,7;0;0;0,1;19,2;6,7;26,9;0;0;0;26,9;0;0;0;;;;;
"Verspreide huizen Kollumerpomp";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701207";"1";6,2;0;0;0,5;17,7;6,1;29,1;0;0;0;29,1;0;0;0;;;;;
"Verspreide huizen Warfstermolen";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701208";"1";6,8;0;0;0;19,3;6,8;27,7;0;0;0;27,7;0;0;0;;;;;
"Verspreide huizen Munnekezijl";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701209";"1";5,6;0;0,1;0,2;19,4;5,6;27,7;0;0;0;27,7;0;0;0;;;;;
"Wijk 13 Noordwest";"Noardeast-Fryslân                       ";"Wijk      ";"WK197013  ";"1";3,1;0;1;2,8;10,2;4,2;24,3;0;0;0;24,3;0;0;0;;;;;
"Oudwoude";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701300";"1";2,7;0;2;4,1;11,5;2,9;24,1;0;0;0;24,1;0;0;0;;;;;
"Triemen";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701301";"1";2,3;0;1;2,8;10,1;4,8;23,1;0;0;0;23,1;0;0;0;;;;;
"Westergeest";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701302";"1";3,5;0;0,1;1,3;8,7;5,4;24,4;0;0;0;24,4;0;0;0;;;;;
"Verspreide huizen Oudwoude";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701308";"1";3,5;0;0,7;3,2;11,4;3,8;24,9;0;0;0;24,9;0;0;0;;;;;
"Verspreide huizen Westergeest";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701309";"1";5;0;0,1;1;8,4;6;26,8;0;0;0;26,8;0;0;0;;;;;
"Wijk 14 Zuidwest";"Noardeast-Fryslân                       ";"Wijk      ";"WK197014  ";"1";1;0,6;1,1;2,9;11,8;3,3;21,3;0;0;0;21,3;0;0;0;;;;;
"Kollumerzwaag";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701400";"1";0,8;0,7;1,1;2,7;11,7;3,7;21,3;0;0;0;21,3;0;0;0;;;;;
"Zwagerbosch";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701401";"1";1,6;0;1;3,2;12;1,6;20,7;0;0;0;20,7;0;0;0;;;;;
"Veenklooster";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701402";"1";1,7;0;1;5,8;12,2;3,5;21,4;0;0;0;21,4;0;0;0;;;;;
"Verspreide huizen Kollumerzwaag";"Noardeast-Fryslân                       ";"Buurt     ";"BU19701409";"1";2,4;0;1,1;2,9;12,3;2,6;21,4;0;0;0;21,4;0;0;0;;;;;
"Noord-Beveland";"Noord-Beveland                          ";"Gemeente  ";"GM1695    ";"1";1,9;0,4;0,7;0,9;16,4;1,9;16,8;0;0;1,7;18,6;0;0;0,6;;;;;
"Wijk 00 Kortgene";"Noord-Beveland                          ";"Wijk      ";"WK169500  ";"1";1,5;0,2;1;1;15,1;1,5;15,3;0;0;2;15,3;0;0;1;;;;;
"Kortgene-Dorp";"Noord-Beveland                          ";"Buurt     ";"BU16950000";"1";1,4;0,2;1;1;15,2;1,4;15,4;0;0;2;15,4;0;0;1;;;;;
"Kortgene-Oost";"Noord-Beveland                          ";"Buurt     ";"BU16950001";"1";1,4;0,1;1;1;14,7;1,4;14,9;0;0;2;14,9;0;0;1;;;;;
"Verspreide huizen Kortgene";"Noord-Beveland                          ";"Buurt     ";"BU16950009";"1";3;0,1;0,4;0,9;14,6;3;14,9;0;0,1;2;14,9;0;0,1;1;;;;;
"Wijk 01 Colijnsplaat";"Noord-Beveland                          ";"Wijk      ";"WK169501  ";"1";0,5;0,9;1;1;14,6;0,5;14,1;0;0;2;16,4;0;0;1;;;;;
"Colijnsplaat";"Noord-Beveland                          ";"Buurt     ";"BU16950100";"1";0,3;1;1;1;14,6;0,3;14;0;0;2;16,4;0;0;1;;;;;
"Verspreide huizen Colijnsplaat";"Noord-Beveland                          ";"Buurt     ";"BU16950109";"1";3;0,1;0,5;1,1;15,2;3;14,7;0;0;2;16,3;0;0;1;;;;;
"Wijk 02 Kats";"Noord-Beveland                          ";"Wijk      ";"WK169502  ";"1";5,2;0;0;0,1;12,8;5,2;13;0;0;2;13,1;0;0;1;;;;;
"Kats";"Noord-Beveland                          ";"Buurt     ";"BU16950200";"1";5,3;0;0;0;12,8;5,3;13;0;0;2;13;0;0;1;;;;;
"Verspreide huizen Kats";"Noord-Beveland                          ";"Buurt     ";"BU16950209";"1";4,6;0;0,1;0,6;12,9;4,6;12,9;0;0;2;13,4;0;0;1;;;;;
"Wijk 03 Kamperland";"Noord-Beveland                          ";"Wijk      ";"WK169503  ";"1";1,1;0,8;0,9;1;17,6;1,1;18,6;0;0;1,9;23,5;0;0;0;;;;;
"Kamperland";"Noord-Beveland                          ";"Buurt     ";"BU16950300";"1";0,6;0,9;1;1;17,7;0,6;18,7;0;0;2;23,4;0;0;0;;;;;
"Recreatiegebied Kamperland";"Noord-Beveland                          ";"Buurt     ";"BU16950301";"1";3,4;0;0,3;1;16,9;3,4;18;0;0;2;24,6;0;0;0;;;;;
"Verspreide huizen Kamperland";"Noord-Beveland                          ";"Buurt     ";"BU16950309";"1";2,5;0,1;0,6;1;17,5;2,5;18,5;0;0;1,4;22,9;0;0;0;;;;;
"Wijk 04 Wissenkerke";"Noord-Beveland                          ";"Wijk      ";"WK169504  ";"1";4,1;0;0;1;19,9;4,1;20,4;0;0;0,1;20,5;0;0;0;;;;;
"Wissenkerke";"Noord-Beveland                          ";"Buurt     ";"BU16950400";"1";4;0;0;1;20;4;20,5;0;0;0;20,5;0;0;0;;;;;
"Verspreide huizen Wissenkerke";"Noord-Beveland                          ";"Buurt     ";"BU16950409";"1";4,6;0;0,1;0,8;19,1;4,6;19,2;0;0;1,2;19,8;0;0;0,5;;;;;
"Wijk 05 Geersdijk";"Noord-Beveland                          ";"Wijk      ";"WK169505  ";"1";4;0;0;1;17,8;4;18;0;0;1,9;18;0;0;1;;;;;
"Geersdijk";"Noord-Beveland                          ";"Buurt     ";"BU16950500";"1";4;0;0;1;17,7;4;17,9;0;0;2;17,9;0;0;1;;;;;
"Verspreide huizen Geersdijk";"Noord-Beveland                          ";"Buurt     ";"BU16950509";"1";3,8;0;0;1;18,1;3,8;18,3;0;0;1,7;18,3;0;0;0,9;;;;;
"Noordenveld";"Noordenveld                             ";"Gemeente  ";"GM1699    ";"1";1,7;1,2;4,2;5,2;9,3;2,4;14,4;0;0,1;3;14,9;0;0,1;1,8;;;;;
"Wijk 00 Roden";"Noordenveld                             ";"Wijk      ";"WK169900  ";"1";1,2;1,8;6,5;7,6;6,9;1,3;15,7;0;0;3;15,7;0;0;2;;;;;
"Roden";"Noordenveld                             ";"Buurt     ";"BU16990000";"1";0,7;3,4;7;7,6;6,7;0,8;14,9;0;0;3;14,9;0;0;2;;;;;
"Roden West";"Noordenveld                             ";"Buurt     ";"BU16990010";"1";1,2;1,1;7;7,4;7,3;1,2;16,5;0;0;3;16,5;0;0;2;;;;;
"Industrieterrein Roden";"Noordenveld                             ";"Buurt     ";"BU16990020";"1";2;0;6,9;7,7;7;2,2;14;0;0;3;14;0;0;2;;;;;
"Nieuw-Roden";"Noordenveld                             ";"Buurt     ";"BU16990030";"1";1,9;0;6,7;9,3;6,8;1,9;17,1;0;0;2,9;17,1;0;0;2;;;;;
"Nietap";"Noordenveld                             ";"Buurt     ";"BU16990040";"1";1,7;0;2,3;10;3,4;1,7;17;0;0;3;17;0;0;2;;;;;
"Leutingewolde";"Noordenveld                             ";"Buurt     ";"BU16990050";"1";2,6;0;5;8,4;6;2,7;14,5;0;0;3;14,5;0;0;2;;;;;
"Foxwolde";"Noordenveld                             ";"Buurt     ";"BU16990060";"1";3,6;0;0,1;7,7;8,1;3,8;13;0;0;3;13;0;0;2;;;;;
"Roderwolde";"Noordenveld                             ";"Buurt     ";"BU16990070";"1";5,6;0;0;0;9,9;5,8;14;0;0;3;14;0;0;2;;;;;
"Sandebuur";"Noordenveld                             ";"Buurt     ";"BU16990080";"1";6,1;0;0;0;9,7;6,3;13,9;0;0;3;13,9;0;0;2;;;;;
"Lieveren";"Noordenveld                             ";"Buurt     ";"BU16990090";"1";3,4;0;0;7;10;3,6;14,8;0;0;4,1;14,8;0;0;2,1;;;;;
"Wijk 01 Roden";"Noordenveld                             ";"Wijk      ";"WK169901  ";"1";3,3;0;1,9;6,7;8,5;3,4;17,1;0;0;3,2;17,1;0;0;1,8;;;;;
"Roderesch";"Noordenveld                             ";"Buurt     ";"BU16990100";"1";3,3;0;0,5;7;9,5;3,3;17,2;0;0;4;17,2;0;0;2;;;;;
"Steenbergen";"Noordenveld                             ";"Buurt     ";"BU16990110";"1";5;0;0;1,3;10,7;5,1;18,9;0;0;2,7;18,9;0;0;1;;;;;
"Buitengebied Roden Noord";"Noordenveld                             ";"Buurt     ";"BU16990120";"1";4,2;0;0,5;5,3;7,9;4,3;13,8;0;0,1;2,9;13,8;0;0,1;1,9;;;;;
"Buitengebied Roden Zuid";"Noordenveld                             ";"Buurt     ";"BU16990130";"1";3,3;0;2,5;6;9,5;3,5;17;0;0;3,3;17;0;0;1,8;;;;;
"Buitengebied Roden West";"Noordenveld                             ";"Buurt     ";"BU16990140";"1";2,4;0;3;9,6;5,5;2,6;18,1;0;0;2,5;18,1;0;0;1,7;;;;;
"Wijk 03 Norg";"Noordenveld                             ";"Wijk      ";"WK169903  ";"1";2,3;0,7;1,4;1,7;15,1;2,3;13,8;0;0;2,2;15,9;0;0;1,1;;;;;
"Norg";"Noordenveld                             ";"Buurt     ";"BU16990300";"1";0,8;1,2;2;2;15,2;0,8;12,7;0;0;2,1;15,3;0;0;1;;;;;
"Een";"Noordenveld                             ";"Buurt     ";"BU16990310";"1";4,7;0;0;1,9;14,4;4,7;17,1;0;0;1,8;19,7;0;0;0,8;;;;;
"Langelo";"Noordenveld                             ";"Buurt     ";"BU16990320";"1";3,1;0;0,3;2;12,5;3,1;15,5;0;0;4,8;17,6;0;0;2,8;;;;;
"Peest";"Noordenveld                             ";"Buurt     ";"BU16990330";"1";2,7;0;1,1;2;12,1;2,7;9,5;0;1;2;12,1;0;0;1;;;;;
"Zuidvelde";"Noordenveld                             ";"Buurt     ";"BU16990340";"1";2,7;0;1,8;2;13,2;2,7;12,2;0;0;2;13,2;0;0;1;;;;;
"Westervelde";"Noordenveld                             ";"Buurt     ";"BU16990350";"1";2,4;0;2;2;15,9;2,4;14,3;0;0;2;15,9;0;0;1;;;;;
"Veenhuizen";"Noordenveld                             ";"Buurt     ";"BU16990360";"1";6,9;0;0;0;17,3;6,9;16,4;0;0;2;17,3;0;0;1;;;;;
"Verspreide huizen Huis ter Heide";"Noordenveld                             ";"Buurt     ";"BU16990370";"1";5,5;0;0;0,6;10,1;5,2;9,1;0;1,4;2;10,1;0;0,6;1;;;;;
"Verspreide huizen Een-West";"Noordenveld                             ";"Buurt     ";"BU16990380";"1";2,5;0;0,8;1,3;11,4;2,5;18,9;0;0;1;18,9;0;0;1;;;;;
"Verspreide huizen Norg";"Noordenveld                             ";"Buurt     ";"BU16990390";"1";1,6;0,1;1,9;2;14,9;1,6;12,7;0;0;3,4;15,2;0;0;1,8;;;;;
"Wijk 04 Norg";"Noordenveld                             ";"Wijk      ";"WK169904  ";"1";5,1;0;0,2;0,7;14,1;5,2;15,6;0;0;1,7;17,1;0;0;0,7;;;;;
"Verspreide huizen Een";"Noordenveld                             ";"Buurt     ";"BU16990400";"1";4,1;0;0,2;0,8;13,4;4,3;18,9;0;0;1;20,9;0;0;0,2;;;;;
"Verspreide huizen Langelo";"Noordenveld                             ";"Buurt     ";"BU16990410";"1";3,4;0;0,5;3,2;12,2;3,4;15,8;0;0;4;17,8;0;0;2,1;;;;;
"Verspreide huizen Peest";"Noordenveld                             ";"Buurt     ";"BU16990420";"1";2,8;0;0,8;2;12,4;2,8;9,9;0;0,4;2;12,4;0;0;1;;;;;
"Verspreide huizen Zuidvelde";"Noordenveld                             ";"Buurt     ";"BU16990430";"1";4,3;0;0,1;1,5;12,4;4,3;11,3;0;0,1;2;12,4;0;0;1;;;;;
"Verspreide huizen Westervelde";"Noordenveld                             ";"Buurt     ";"BU16990440";"1";;;;;;;;;;;;;;;;;;;
"Verspreide huizen Veenhuizen";"Noordenveld                             ";"Buurt     ";"BU16990450";"1";6,6;0;0;0;15,5;6,6;14,9;0;0;2;15,8;0;0;1;;;;;
"Wijk 06 Peize";"Noordenveld                             ";"Wijk      ";"WK169906  ";"1";1,3;0,5;0,9;1,6;9,9;5,4;10;0;0,6;4;10;0;0,6;2,1;;;;;
"Peize";"Noordenveld                             ";"Buurt     ";"BU16990600";"1";0,9;0,6;1;1,2;9,9;5,6;9,9;0;0,6;4;9,9;0;0,6;2;;;;;
"Altena";"Noordenveld                             ";"Buurt     ";"BU16990610";"1";3,1;0;0,3;1,8;10,8;5,3;12;0;0;4;12;0;0;2;;;;;
"Peizermade";"Noordenveld                             ";"Buurt     ";"BU16990620";"1";1,9;0;2;6,2;6,4;2,8;6,4;0;3;3;6,4;0;2;2;;;;;
"Verspreide huizen Peize Noord";"Noordenveld                             ";"Buurt     ";"BU16990630";"1";2,6;0;0,7;3;10,3;5,2;11;0;0,4;4;11;0;0,3;2,2;;;;;
"Noordoostpolder";"Noordoostpolder                         ";"Gemeente  ";"GM0171    ";"1";2,4;0,7;3,2;4,1;6,3;3,3;5,4;1,1;1,5;2,9;33;0;0;0;;;;;
"Wijk 01 Emmeloord";"Noordoostpolder                         ";"Wijk      ";"WK017101  ";"1";1,4;1,1;5,6;6,9;2,4;1,6;1,8;2;2;3;35,1;0;0;0;;;;;
"Emmeloord-Centrum-Tussen Gracht en Vaart";"Noordoostpolder                         ";"Buurt     ";"BU01710101";"1";1,1;0,9;7;7;2;1,1;1,1;2;2;3;34,8;0;0;0;;;;;
"Emmeloord-Centrum-Centrum West";"Noordoostpolder                         ";"Buurt     ";"BU01710102";"1";0,5;3,5;7;7;1,8;0,5;1;2;2;3;35,3;0;0;0;;;;;
"Emmeloord-Centrum-Bos en Gaard";"Noordoostpolder                         ";"Buurt     ";"BU01710103";"1";1;1,2;6,2;7;2,9;1,1;2;2;2;3;35,8;0;0;0;;;;;
"Emmeloord-Centrum-Centrum Oost";"Noordoostpolder                         ";"Buurt     ";"BU01710104";"1";0,6;2,8;7;7;2,4;0,6;1,5;2;2;3;35,5;0;0;0;;;;;
"Emmeloord-Revelsant-Noord";"Noordoostpolder                         ";"Buurt     ";"BU01710105";"1";0,6;3,1;7;7;0,6;0,9;0,6;2;2;3;34,1;0;0;0;;;;;
"Emmeloord-Revelsant-Zuid";"Noordoostpolder                         ";"Buurt     ";"BU01710106";"1";0,4;2,9;7;7;0,8;1,2;0,6;2;2;3;34;0;0;0;;;;;
"Emmeloord-Espelervaart-Bergenbuurt";"Noordoostpolder                         ";"Buurt     ";"BU01710107";"1";0,4;2;7;7;1;0,4;0,6;2;2;3;34,5;0;0;0;;;;;
"Emmeloord-Espelervaart-Rivierenbuurt";"Noordoostpolder                         ";"Buurt     ";"BU01710108";"1";0,6;0,9;7;7;1,5;0,6;1;2;2;3;35;0;0;0;;;;;
"Emmeloord-Espelervaart-Espelervaart West";"Noordoostpolder                         ";"Buurt     ";"BU01710109";"1";1;0,6;7;7;1,5;1;1,5;2;2;3;34,8;0;0;0;;;;;
"Emmeloord-de Zuidert";"Noordoostpolder                         ";"Buurt     ";"BU01710110";"1";2,1;0;5,6;7;2,9;2,1;2;2;2;3;34,3;0;0;0;;;;;
"Emmeloord-de Erven";"Noordoostpolder                         ";"Buurt     ";"BU01710111";"1";2,2;0;3,8;7;3,5;2,4;2,8;2;2;3;36,1;0;0;0;;;;;
"Emmeloord-Waterland";"Noordoostpolder                         ";"Buurt     ";"BU01710112";"1";2,4;0;3;7;4,4;2,5;3,5;2;2;3;35,8;0;0;0;;;;;
"Emmeloord-Emmelhage-Boswonen";"Noordoostpolder                         ";"Buurt     ";"BU01710113";"1";2,6;0;2,4;7;4,3;2,7;3,5;2;2;3;36,4;0;0;0;;;;;
"Emmeloord-Emmelhage-Waterwonen/Polderwon";"Noordoostpolder                         ";"Buurt     ";"BU01710114";"1";2,5;0;3,7;7;4;2,7;3,1;2;2;3;36,8;0;0;0;;;;;
"Emmeloord-Bedrijventerrein de Munt";"Noordoostpolder                         ";"Buurt     ";"BU01710115";"1";2,1;0;3,9;7;3,6;2,1;2,7;2;2;3;34,5;0;0;0;;;;;
"Emmeloord-Bedrijventerrein Nagelerweg";"Noordoostpolder                         ";"Buurt     ";"BU01710116";"1";1,9;0;5,6;7;2,8;1,9;1,9;2;2;2,9;33,7;0;0;0;;;;;
"Emmeloord-Bedrijventerrein A6";"Noordoostpolder                         ";"Buurt     ";"BU01710117";"1";;;;;;;;;;;;;;;;;;;
"Emmeloord-landelijk gebied";"Noordoostpolder                         ";"Buurt     ";"BU01710118";"1";4,1;0;0,7;3,6;5,4;4,3;4,7;0,9;2;2,5;34;0;0;0;;;;;
"Wijk 02 Bant";"Noordoostpolder                         ";"Wijk      ";"WK017102  ";"1";6,5;0;0;0,1;9,2;6,9;8,3;0;1,7;3;31,9;0;0;0;;;;;
"Bant-woonkern";"Noordoostpolder                         ";"Buurt     ";"BU01710219";"1";6,7;0;0;0;8,7;6,8;7,8;0;2;3;32;0;0;0;;;;;
"Bant-bedrijventerrein";"Noordoostpolder                         ";"Buurt     ";"BU01710220";"1";6,9;0;0;0;8,8;6,9;7,9;0;2;3;30,8;0;0;0;;;;;
"Bant-landelijk gebied";"Noordoostpolder                         ";"Buurt     ";"BU01710221";"1";6,2;0;0;0,2;9,8;7;8,8;0;1,4;3;31,7;0;0;0;;;;;
"Wijk 03 Luttelgeest";"Noordoostpolder                         ";"Wijk      ";"WK017103  ";"1";4,3;0;0;0,9;11,3;4,2;10,4;0;0,5;3;31,5;0;0;0;;;;;
"Luttelgeest-woonkern";"Noordoostpolder                         ";"Buurt     ";"BU01710322";"1";4,6;0;0;1;11,6;4,2;10,7;0;0;3;31,7;0;0;0;;;;;
"Luttelgeest-landelijk gebied";"Noordoostpolder                         ";"Buurt     ";"BU01710323";"1";4,2;0;0,1;0,8;11,1;4,1;10,2;0;0,8;3;31,3;0;0;0;;;;;
"Wijk 04 Marknesse";"Noordoostpolder                         ";"Wijk      ";"WK017104  ";"1";1,4;0,6;0,9;1,1;10,3;1,3;9,4;0;1,5;2,2;28,7;0;0;0;;;;;
"Marknesse-woonkern";"Noordoostpolder                         ";"Buurt     ";"BU01710424";"1";0,6;0,9;1;1;9,5;0,6;8,6;0;1,9;2;28,9;0;0;0;;;;;
"Marknesse-bedrijventerrein";"Noordoostpolder                         ";"Buurt     ";"BU01710425";"1";1,3;0,3;1;1;10,2;1,1;9,3;0;1,3;2;28,2;0;0;0;;;;;
"Marknesse-landelijk gebied";"Noordoostpolder                         ";"Buurt     ";"BU01710426";"1";3;0;0,6;1,3;12,1;2,9;11,4;0;0,5;2,7;28,2;0;0;0;;;;;
"Wijk 05 Kraggenburg";"Noordoostpolder                         ";"Wijk      ";"WK017105  ";"1";6,1;0;0;0,1;15,8;6,8;15,1;0;0;2,9;27,4;0;0;0;;;;;
"Kraggenburg-woonkern";"Noordoostpolder                         ";"Buurt     ";"BU01710527";"1";6,3;0;0;0;15,3;6,6;14,4;0;0;3;27,4;0;0;0;;;;;
"Kraggenburg-bedrijventerrein";"Noordoostpolder                         ";"Buurt     ";"BU01710528";"1";5,9;0;0;0;15,3;6,6;14,4;0;0;3;27,4;0;0;0;;;;;
"Kraggenburg-bedrijventerrein";"Noordoostpolder                         ";"Buurt     ";"BU01710529";"1";6;0;0;0;15,1;6;14,2;0;0;3;26,8;0;0;0;;;;;
"Kraggenburg-landelijk gebied";"Noordoostpolder                         ";"Buurt     ";"BU01710530";"1";5,8;0;0;0,3;16,3;7,1;15,9;0;0;2,7;27,5;0;0;0;;;;;
"Wijk 06 Ens";"Noordoostpolder                         ";"Wijk      ";"WK017106  ";"1";1,5;0,5;0,8;1;13;8,5;11,9;0;0,1;3;28,6;0;0;0;;;;;
"Ens-woonkern";"Noordoostpolder                         ";"Buurt     ";"BU01710631";"1";0,7;0,8;1;1;12,7;8,4;11,8;0;0;3;28,2;0;0;0;;;;;
"Ens-bedrijventerrein";"Noordoostpolder                         ";"Buurt     ";"BU01710632";"1";0,9;0,6;1;1;12,6;8,2;11,7;0;0;3;28,4;0;0;0;;;;;
"Ens-landelijk gebied";"Noordoostpolder                         ";"Buurt     ";"BU01710633";"1";2,9;0,1;0,6;0,9;13,5;8,7;12,2;0;0,2;3;29,3;0;0;0;;;;;
"Wijk 07 Nagele";"Noordoostpolder                         ";"Wijk      ";"WK017107  ";"1";2;0,6;0,7;0,9;9,4;2;9,4;0;1,4;2,8;28,2;0;0;0;;;;;
"Nagele-woonkern";"Noordoostpolder                         ";"Buurt     ";"BU01710734";"1";0,5;1;1;1;8,6;0,5;8,6;0;2;2,6;28,4;0;0;0;;;;;
